外语|がいこくご|外国語
亲密的朋友|しんゆう|親友
同年级同学|どうきゅうせい|同級生
天津大学|てんしんだいがく|天津大学
某|ある|
许久|ひさしぶり|久しぶり
约会，碰头|まちあわせる|待ち合わせる
天安门|てんあんもん|天安門
照片|しゃしん|写真
拍照|とる|撮る
王府井|ワンフーチン|王府井
走|あるく|歩く
咖啡馆|きっさてん|喫茶店
咖啡|コーヒー|コーヒー
订购，订货|ちゅうもん|注文
牛奶|ミルク|ミルク
糖，砂糖|さとう|砂糖
放入|いれる|入れる
外套，大衣|コート|コート
想要|ほしい|ほしい
代替|かわり|代わり
毛衣|セーター|セーター
公园|こうえん|公園
将来|しょうらい|将来
交谈|かたりあう|語り合う
快乐|たのしい|楽しい
成为|なる|なる
播音员|アナウンサー|アナウンサー
毕业|そつぎょう|卒業
研究生院|だいがくいん|大学院
MBA|エムビーエー|ＭＢＡ
取|とる|取る
厉害，非常|すごい|すごい
更加|もっと|もっと
互相|おたがい|お互い
拼命努力，加油|がんばる|頑張る
