四季|しき|四季|
分别|それぞれ|それぞれ|
魅力|みりょく|魅力|
赏樱花|はなみ|花見|
季节|きせつ|季節|
最初|はじめ|初め|
樱花|さくら|桜|
开（花）|さく|咲く
夏天|なつ|夏
海|うみ|海
美丽|うつくしい|美しい
海岸|かいがん|海岸
很多|たくさん|たくさん
那，那个|その|その
中，里|なか|中
冲绳|おきなわ|沖縄
又，再|また|又
北京|ペキン|北京
闷热|むしあつい|蒸し暑い
秋天|あき|秋
红叶|こうよう|紅葉
~月|がつ|月
热|あつい|暑い
冷|さむい|寒い
体育运动|スポーツ|スポーツ
好|いい|いい
冬天|ふゆ|冬
雪|ゆき|雪
多|おおい|多い
滑雪|スキー|スキー
能够|出来る|出来る
年轻的|わかい|若い
人缘，声望|にんき|人気
早上好|おはようございます|おはようございます
表示尊敬（如:__仕事）|お|お
您出门啊？|おでかけですか|お出掛けですか
工作|しごと|仕事
方法|しかた|仕方
没有|ない|無い
慢，晚|おそい|遅い
白领丽人|オーエル|OL
工薪阶层|サラリーマン|サラリーマン
~得多|ずっと|ずっと
忙|いそがしい|忙しい
那样|そう|そう
那么（稍不正式）|じゃあ|じゃあ
我走了|いってまいります|行って参ります
