正文|ほんぶん|本文|
初次见面|はじめまして|初めまして|
清华大学|せいかだいがく|清華大学|
学生|がくせい|学生|
计算机|コンピューター|コンピューター|
系|がくぶ|学部|
二年级学生|にねんせい|２年生|
上海|シャンハイ|上海|
出生在，出生地|しゅっしん|出身|
请多关照|よろしく|よろしく|
希望，愿望|ねがう|願う|
大家，诸位|みなさん|皆さん|
你好|こんにちは|今日は|
家庭妇女|しゅふ|主婦|
以前，过去|いぜん|以前|
护士|かんごふ|看護婦|
名字|なまえ|名前|
早稻田|わせだ|早稲田|
专业|せんこう|専攻|
中文|ちゅうごくご|中国語|
现在|げんざい|現在|
正在……之中|ちゅう|中|
请|どうぞ|どうぞ|
中国人|ちゅうごくじん|中国人|
日本人|にほんじん|日本人|
研究生|だいがくいんせい|大学院生|
爱好|しゅみ|趣味|
足球|サッカー|サッカー|
对不起|すみません|すみません|
研究室|けんきゅうしつ|研究室|
那里|あそこ|あそこ|
实验室|じっけんしつ|実験室|
旁边，隔壁|となり|隣|
太，很|どうも|どうも|
谢谢|ありがとうございます|ありがとうございます|
不是，不|いいえ|いいえ|
老师，先生|せんせい|先生|
那个|それ|それ|
什么|なん|なん|
数字（式）|デジタル|デジタル|
照相机|カメラ|カメラ|
