日文,假名,中文,类型,
新标初_01,,,,
中国人,ちゅうごくじん,中国人,名词,
日本人,にほんじん,日本人,名词,
韓国人,かんこくじん,韩国人,名词,
アメリカ人,アメリカじん,美国人,名词,
フランス人,フランスじん,法国人,名词,
学生,がくせい,（大）学生,名词,
先生,せんせい,老师,名词,
留学生,りゅうがくせい,留学生,名词,
教授,きょうじゅ,教授,名词,
社員,しゃいん,职员,名词,
会社員,かいしゃいん,公司职员,名词,
店員,てんいん,店员,名词,
研修生,けんしゅうせい,进修生,名词,
企業,きぎょう,企业,名词,
大学,だいがく,大学,名词,
父,ちち,（我）父亲,名词,
課長,かちょう,科长,名词,
社長,しゃちょう,总经理，社长,名词,
出迎え,でむかえ,迎接,名词,
あの人,あのひと,那个人,名词,
わたし,わたし,我,代词,
あなた,あなた,你,代词,
どうも,どうも,非常，很,副词,
はい,はい,哎，是,感叹词,
いいえ,いいえ,不，不是,感叹词,
あっ,あっ,哎，哎呀,感叹词,
李,り,李,专有词,
王,おう,王,专有词,
張,ちょう,张,专有词,
森,もり,森,专有词,
林,はやし,林,专有词,
小野,おの,小野,专有词,
吉田,よしだ,吉田,专有词,
田中,たなか,田中,专有词,
中村,なかむら,中村,专有词,
太郎,たろう,太郎,专有词,
金,キム,金,专有词,
デュポン,デュポン,迪蓬,专有词,
スミス,スミス,史密斯,专有词,
ジョンソン,ジョンソン,约翰逊,专有词,
中国,ちゅうごく,中国,专有词,
東京大学,とうきょうだいがく,东京大学,专有词,
北京大学,ペキンだいがく,北京大学,专有词,
ＪＣ企画,ジェーシーきかく,JC策划公司,专有词,
北京旅行社,ペキンりょこうしゃ,北京旅行社,专有词,
日中商事,にっちゅうしょうじ,日中商社,专有词,
こんにちは,こんにちは,你好,惯用语,
すみません,すみません,对不起，请问,惯用语,
どうぞ,どうぞ,请,惯用语,
よろしくお願いします,よろしくおねがいします,请多关照,惯用语,
はじめまして,はじめまして,初次见面,惯用语,
こちらこそ,こちらこそ,我才要（请您～）,惯用语,
そうです,そうです,是（这样）,惯用语,
ちがいます,ちがいます,不是,惯用语,
分かりません,わかりません,不知道,惯用语,
どうもすみません,どうもすみません,实在对不起,惯用语,
,,,,
新标初_02,,,,
本,ほん,书,名词,
かばん,かばん,包，公文包,名词,
ノート,ノート,笔记本，本子,名词,
鉛筆,えんぴつ,铅笔,名词,
傘,かさ,伞,名词,
靴,くつ,鞋,名词,
新聞,しんぶん,报纸,名词,
雑誌,ざっし,杂志,名词,
辞書,じしょ,词典,名词,
カメラ,カメラ,照相机,名词,
テレビ,テレビ,电视机,名词,
パソコン,パソコン,个人电脑,名词,
ラジオ,ラジオ,收音机,名词,
電話,でんわ,电话,名词,
机,つくえ,桌子，书桌,名词,
いす,いす,椅子,名词,
かぎ,かぎ,钥匙，锁,名词,
時計,とけい,钟，表,名词,
手帳,てちょう,记事本,名词,
写真,しゃしん,照片,名词,
車,くるま,车,名词,
自転車,じてんしゃ,自行车,名词,
お土産,おみやげ,礼物,名词,
名産品,めいさんひん,特产，名产,名词,
シルク,シルク,丝绸,名词,
ハンカチ,ハンカチ,手绢,名词,
会社,かいしゃ,公司,名词,
方,かた,（敬称）位，人,名词,
人,ひと,人,名词,
家族,かぞく,家人，家属,名词,
母,はは,（我）母亲,名词,
お母さん,おかあさん,母亲,名词,
日本語,にほんご,日语,名词,
中国語,ちゅうごくご,汉语，中文,名词,
これ,これ,这，这个,代词,
それ,それ,那，那个,代词,
あれ,あれ,那，那个,代词,
どれ,どれ,哪个,代词,
何,なん,什么,代词,
だれ,だれ,谁,代词,
どなた,どなた,哪位,代词,
この,この,这，这个,连接词,
その,その,那，那个,连接词,
あの,あの,那，那个,连接词,
どの,どの,哪个,连接词,
えっ,えっ,啊,感叹词,
